theme_id,theme_name,stock_count,big_theme,is_event_theme
180,석유화학,18,화학·정유,False
66,줄기세포,18,기타·이벤트,False
152,온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),17,전력·원전·에너지,False
298,희귀금속(희토류 등),17,철강·비철·소재,False
378,건설기계,16,건설·인프라,False
141,종합 물류,16,여행·레저·운송,False
496,골프,15,기타·이벤트,False
586,광통신(광케이블/광섬유 등),15,통신·네트워크,False
44,시멘트/레미콘,15,건설·인프라,False
401,원자력발전소 해체,15,전력·원전·에너지,False
488,웹툰,15,콘텐츠·엔터·게임,False
98,음원/음반,15,콘텐츠·엔터·게임,False
435,재택근무/스마트워크,15,기타·이벤트,False
600,주유소,15,기타·이벤트,False
537,초전도체,15,기타·이벤트,False
174,치아 치료(임플란트 등),15,기타·이벤트,False
379,항공기부품,15,우주·방산·항공,False
559,고체산화물 연료전지(SOFC),14,친환경·신재생,False
297,공작기계,14,기타·이벤트,False
511,니켈,14,철강·비철·소재,False
566,딥페이크(deepfake),14,기타·이벤트,False
608,반도체 기판(FC-BGA/PCB/MLB 등),14,반도체·AI,False
584,스페이스X(SpaceX),14,우주·방산·항공,False
79,자원개발,14,기타·이벤트,False
63,제지,14,기타·이벤트,False
534,페라이트,14,기타·이벤트,False
547,CXL(컴퓨트익스프레스링크),13,반도체·AI,False
493,mRNA(메신저 리보핵산),13,바이오·헬스케어,False
415,그래핀,13,기타·이벤트,False
313,남-북-러 가스관사업,13,전력·원전·에너지,False
560,냉각시스템(액침냉각 등),13,반도체·AI,False
397,보톡스(보툴리눔톡신),13,기타·이벤트,False
272,전자결제(전자화폐),13,인터넷·SW·클라우드,False
86,"주류업(주정, 에탄올 등)",13,음식료·농업,False
464,콜드체인(저온 유통),13,기타·이벤트,False
407,호텔/리조트,13,여행·레저·운송,False
590,2026 상반기 신규상장,12,기타·이벤트,True
503,2차전지(LFP/리튬인산철),12,2차전지·전기차,False
112,공기청정기,12,기타·이벤트,False
507,마이데이터,12,기타·이벤트,False
546,마이코플라스마 폐렴,12,기타·이벤트,False
321,무선충전기술,12,2차전지·전기차,False
232,미디어(방송/신문),12,콘텐츠·엔터·게임,False
332,스마트카(SMART CAR),12,기타·이벤트,False
48,영화,12,콘텐츠·엔터·게임,False
18,전자파,12,기타·이벤트,False
326,3D 프린터,11,로봇·자동화,False
269,LED장비,11,디스플레이·전자부품,False
405,MLCC(적층세라믹콘덴서),11,디스플레이·전자부품,False
223,강관업체(Steel pipe),11,기타·이벤트,False
228,국내 상장 중국기업,11,기타·이벤트,False
482,두나무(Dunamu),11,기타·이벤트,False
408,마리화나(대마),11,기타·이벤트,False
390,마이크로 LED,11,디스플레이·전자부품,False
323,셰일가스(Shale Gas),11,전력·원전·에너지,False
599,소캠(SOCAMM),11,반도체·AI,False
165,은행,11,금융,False
302,음성인식,11,기타·이벤트,False
400,조림사업,11,기타·이벤트,False
62,철강 주요종목,11,철강·비철·소재,False
489,카카오뱅크(kakao BANK),11,기타·이벤트,False
576,퓨리오사AI,11,반도체·AI,False
317,SNS(소셜네트워크서비스),10,통신·네트워크,False
170,골판지 제조,10,기타·이벤트,False
481,마켓컬리(kurly),10,기타·이벤트,False
524,모듈러주택,10,건설·인프라,False
204,비료,10,음식료·농업,False
90,수산,10,음식료·농업,False
290,"스포츠행사 수혜(올림픽, 월드컵 등)",10,기타·이벤트,True
595,우주태양광(페로브스카이트 등),10,우주·방산·항공,False
385,키오스크(KIOSK),10,기타·이벤트,False
82,태풍 및 장마,10,기타·이벤트,False
8,화폐/금융자동화기기(디지털화폐 등),10,기타·이벤트,False
579,2차전지(나트륨이온),9,2차전지·전기차,False
177,LPG(액화석유가스),9,전력·원전·에너지,False
176,도시가스,9,전력·원전·에너지,False
402,아스콘(아스팔트 콘크리트),9,기타·이벤트,False
147,여행,9,여행·레저·운송,False
60,육계,9,음식료·농업,False
324,일자리(취업),9,기타·이벤트,False
45,캐릭터상품,9,기타·이벤트,False
167,타이어,9,자동차·부품,False
520,피팅(관이음쇠)/밸브,9,건설·인프라,False
166,항공/저가 항공사(LCC),9,여행·레저·운송,False
213,해저터널(지하화/지하도로 등),9,건설·인프라,False
615,2026 하반기 신규상장,8,기타·이벤트,True
380,면세점,8,소비·유통·패션,False
164,손해보험,8,금융,False
521,애플페이,8,기타·이벤트,False
597,오가노이드,8,바이오·헬스케어,False
178,전선,8,전력·원전·에너지,False
328,제습기,8,기타·이벤트,False
325,종합상사,8,기타·이벤트,False
581,탈 플라스틱(친환경/생분해성 등),8,화학·정유,False
330,페인트,8,기타·이벤트,False
187,핵융합에너지,8,전력·원전·에너지,False
28,CCTV＆DVR,7,기타·이벤트,False
56,NI(네트워크통합),7,통신·네트워크,False
614,S7(삼성전자/SK하이닉스 등),7,기타·이벤트,False
556,뉴로모픽 반도체,7,반도체·AI,False
527,윤활유,7,화학·정유,False
159,자동차 대표주,7,자동차·부품,False
452,코로나19(음압병실/음압구급차),7,기타·이벤트,True
173,IT 대표주,6,기타·이벤트,False
154,건설 대표주,6,건설·인프라,False
585,김밥(냉동김밥 등),6,기타·이벤트,False
467,모더나(MODERNA),6,기타·이벤트,False
318,백화점,6,소비·유통·패션,False
30,조선,6,조선·해운,False
47,카지노,6,여행·레저·운송,False
181,테마파크,6,기타·이벤트,False
497,토스(toss),6,기타·이벤트,False
36,해운,6,조선·해운,False
319,화학섬유,6,화학·정유,False
591,서울고속버스터미널 재개발 수혜,5,여행·레저·운송,True
483,야놀자(Yanolja),5,기타·이벤트,False
504,요소수,5,기타·이벤트,False
580,유심(USIM),5,기타·이벤트,False
124,제대혈,5,기타·이벤트,False
575,지역화폐,5,기타·이벤트,False
598,콩/대두,5,기타·이벤트,False
242,탄소나노튜브(CNT),5,친환경·신재생,False
384,편의점,5,소비·유통·패션,False
197,폐기물처리,5,친환경·신재생,False
468,화이자(PFIZER),5,기타·이벤트,False
593,귀금속(금/은),4,기타·이벤트,False
563,낙태/피임,4,기타·이벤트,False
525,렌터카,4,기타·이벤트,False
283,생명보험,4,금융,False
38,홈쇼핑,4,소비·유통·패션,False
449,2차전지(생산),3,2차전지·전기차,False
155,반도체 대표주(생산),3,반도체·AI,False
210,자전거,3,기타·이벤트,False
185,정유,3,화학·정유,False
126,통신,3,기타·이벤트,False
49,인터넷 대표주,2,인터넷·SW·클라우드,False
