theme_id,theme_name,code,name
590,2026 상반기 신규상장,153890,져스텍
590,2026 상반기 신규상장,279570,케이뱅크
590,2026 상반기 신규상장,288180,케이피항공산업
590,2026 상반기 신규상장,394420,리센스메디컬
590,2026 상반기 신규상장,408470,한패스
590,2026 상반기 신규상장,439960,코스모로보틱스
590,2026 상반기 신규상장,458350,에스팀
590,2026 상반기 신규상장,475040,스트라드비젼
590,2026 상반기 신규상장,477850,마키나락스
590,2026 상반기 신규상장,487580,폴레드
590,2026 상반기 신규상장,493280,아이엠바이오로직스
590,2026 상반기 신규상장,493330,지에프아이
615,2026 하반기 신규상장,282620,기도산업
615,2026 하반기 신규상장,365660,레몬헬스케어
615,2026 하반기 신규상장,386380,스카이랩스
615,2026 하반기 신규상장,387690,레메디
615,2026 하반기 신규상장,417030,니어스랩
615,2026 하반기 신규상장,483350,딜리셔스
615,2026 하반기 신규상장,487400,케이앤에스아이앤씨
615,2026 하반기 신규상장,950260,인제니아테라퓨틱스(Reg.S)
64,2차전지,001390,KG케미칼
64,2차전지,001530,DI동일
64,2차전지,001780,알루코
64,2차전지,002710,TCC스틸
64,2차전지,003670,포스코퓨처엠
64,2차전지,004490,세방전지
64,2차전지,004910,조광페인트
64,2차전지,005070,코스모신소재
64,2차전지,005420,코스모화학
64,2차전지,005490,POSCO홀딩스
64,2차전지,006110,삼아알미늄
64,2차전지,006400,삼성SDI
64,2차전지,006650,대한유화
64,2차전지,008730,율촌화학
64,2차전지,010130,고려아연
64,2차전지,011500,한농화성
64,2차전지,011790,SKC
64,2차전지,014680,한솔케미칼
64,2차전지,014820,동원시스템즈
64,2차전지,015750,성우하이텍
64,2차전지,017370,우신시스템
64,2차전지,018470,조일알미늄
64,2차전지,020150,롯데에너지머티리얼즈
64,2차전지,025900,동화기업
64,2차전지,029480,광무
64,2차전지,032560,황금에스티
64,2차전지,032680,소프트센
64,2차전지,033160,엠케이전자
64,2차전지,033790,피노
64,2차전지,036830,솔브레인홀딩스
64,2차전지,037030,파워넷
64,2차전지,042600,새로닉스
64,2차전지,047310,파워로직스
64,2차전지,049950,미래컴퍼니
64,2차전지,051490,나라엠앤디
64,2차전지,051910,LG화학
64,2차전지,053080,케이엔솔
64,2차전지,054090,삼진엘앤디
64,2차전지,054210,이랜텍
64,2차전지,055490,테이팩스
64,2차전지,056190,SFA
64,2차전지,059090,미코
64,2차전지,064290,인텍플러스
64,2차전지,065130,탑엔지니어링
64,2차전지,065350,신성델타테크
64,2차전지,066970,엘앤에프
64,2차전지,075970,동국알앤에스
64,2차전지,076080,웰크론한텍
64,2차전지,078150,HB테크놀러지
64,2차전지,078600,대주전자재료
64,2차전지,079810,APS이노베이션
64,2차전지,081180,쎄크
64,2차전지,083930,아바코
64,2차전지,084850,아이티엠반도체
64,2차전지,086520,에코프로
64,2차전지,088390,이녹스
64,2차전지,089890,코세스
64,2차전지,089980,상아프론테크
64,2차전지,090470,제이스로보틱스
64,2차전지,091580,상신이디피
64,2차전지,093370,후성
64,2차전지,093920,서원인텍
64,2차전지,096630,에스코넥
64,2차전지,096770,SK이노베이션
64,2차전지,101360,에코앤드림
64,2차전지,107600,새빗켐
64,2차전지,108230,톱텍
64,2차전지,109740,디에스케이
64,2차전지,110990,디아이티
64,2차전지,114190,강원에너지
64,2차전지,121600,나노신소재
64,2차전지,126730,코칩
64,2차전지,129920,대성하이텍
64,2차전지,131760,파인텍
64,2차전지,137400,피엔티
64,2차전지,148930,에이치와이티씨
64,2차전지,161000,애경케미칼
64,2차전지,161580,필옵틱스
64,2차전지,168360,펨트론
64,2차전지,178920,PI첨단소재
64,2차전지,217820,원익피앤이
64,2차전지,220260,켐트로스
64,2차전지,222080,SFA넥셀
64,2차전지,222420,쎄노텍
64,2차전지,240600,유진테크놀로지
64,2차전지,241790,티이엠씨씨엔에스
64,2차전지,243840,신흥에스이씨
64,2차전지,247540,에코프로비엠
64,2차전지,251630,브이원텍
64,2차전지,254120,자비스
64,2차전지,257370,피엔티엠에스
64,2차전지,259630,엠플러스
64,2차전지,262260,에이프로
64,2차전지,263770,유에스티
64,2차전지,265560,영화테크
64,2차전지,267320,나인테크
64,2차전지,277880,티에스아이
64,2차전지,278280,천보
64,2차전지,282880,코윈테크
64,2차전지,290670,대보마그네틱
64,2차전지,294140,레몬
64,2차전지,299030,하나기술
64,2차전지,302430,이노메트리
64,2차전지,317330,덕산테코피아
64,2차전지,320000,한울반도체
64,2차전지,333620,엔시스
64,2차전지,336370,솔루스첨단소재
64,2차전지,348370,엔켐
64,2차전지,354320,알멕
64,2차전지,357780,솔브레인
64,2차전지,360070,탑머티리얼
64,2차전지,361610,SK아이이테크놀로지
64,2차전지,364950,에이아이코리아
64,2차전지,365340,성일하이텍
64,2차전지,372170,윤성에프앤씨
64,2차전지,373220,LG에너지솔루션
64,2차전지,378340,필에너지
64,2차전지,382480,지아이텍
64,2차전지,382840,원준
64,2차전지,393890,더블유씨피
64,2차전지,396300,HT로보틱스
64,2차전지,413390,엠오티
64,2차전지,416180,신성에스티
64,2차전지,417010,나노팀
64,2차전지,418550,제이오
64,2차전지,419050,삼기에너지솔루션즈
64,2차전지,432470,케이엔에스
64,2차전지,446540,메가터치
64,2차전지,450080,에코프로머티
64,2차전지,452190,한빛레이저
64,2차전지,452200,민테크
64,2차전지,452400,이닉스
64,2차전지,452450,피아이이
64,2차전지,455180,케이지에이
64,2차전지,457190,이수스페셜티케미컬
64,2차전지,458650,성우
64,2차전지,469750,아이비젼웍스
64,2차전지,475660,에스켐
64,2차전지,480370,씨케이솔루션
64,2차전지,493330,지에프아이
64,2차전지,900070,글로벌에스엠
503,2차전지(LFP/리튬인산철),018290,브이티
503,2차전지(LFP/리튬인산철),032680,소프트센
503,2차전지(LFP/리튬인산철),037030,파워넷
503,2차전지(LFP/리튬인산철),037370,EG
503,2차전지(LFP/리튬인산철),054300,팬스타엔터프라이즈
503,2차전지(LFP/리튬인산철),066970,엘앤에프
503,2차전지(LFP/리튬인산철),096770,SK이노베이션
503,2차전지(LFP/리튬인산철),125210,아모그린텍
503,2차전지(LFP/리튬인산철),222080,SFA넥셀
503,2차전지(LFP/리튬인산철),282880,코윈테크
503,2차전지(LFP/리튬인산철),360070,탑머티리얼
503,2차전지(LFP/리튬인산철),373220,LG에너지솔루션
579,2차전지(나트륨이온),006400,삼성SDI
579,2차전지(나트륨이온),086520,에코프로
579,2차전지(나트륨이온),092200,디아이씨
579,2차전지(나트륨이온),161000,애경케미칼
579,2차전지(나트륨이온),247540,에코프로비엠
579,2차전지(나트륨이온),267320,나인테크
579,2차전지(나트륨이온),373220,LG에너지솔루션
579,2차전지(나트륨이온),393890,더블유씨피
579,2차전지(나트륨이온),446540,메가터치
449,2차전지(생산),006400,삼성SDI
449,2차전지(생산),096770,SK이노베이션
449,2차전지(생산),373220,LG에너지솔루션
446,2차전지(소재/부품),001390,KG케미칼
446,2차전지(소재/부품),001530,DI동일
446,2차전지(소재/부품),001780,알루코
446,2차전지(소재/부품),002710,TCC스틸
446,2차전지(소재/부품),003670,포스코퓨처엠
446,2차전지(소재/부품),004910,조광페인트
446,2차전지(소재/부품),005070,코스모신소재
446,2차전지(소재/부품),005420,코스모화학
446,2차전지(소재/부품),005490,POSCO홀딩스
446,2차전지(소재/부품),006110,삼아알미늄
446,2차전지(소재/부품),006650,대한유화
446,2차전지(소재/부품),008730,율촌화학
446,2차전지(소재/부품),010130,고려아연
446,2차전지(소재/부품),011500,한농화성
446,2차전지(소재/부품),011790,SKC
446,2차전지(소재/부품),014680,한솔케미칼
446,2차전지(소재/부품),014820,동원시스템즈
446,2차전지(소재/부품),015750,성우하이텍
446,2차전지(소재/부품),018470,조일알미늄
446,2차전지(소재/부품),020150,롯데에너지머티리얼즈
446,2차전지(소재/부품),025900,동화기업
446,2차전지(소재/부품),029480,광무
446,2차전지(소재/부품),032560,황금에스티
446,2차전지(소재/부품),033160,엠케이전자
446,2차전지(소재/부품),033790,피노
446,2차전지(소재/부품),036830,솔브레인홀딩스
446,2차전지(소재/부품),047310,파워로직스
446,2차전지(소재/부품),051490,나라엠앤디
446,2차전지(소재/부품),051910,LG화학
446,2차전지(소재/부품),054090,삼진엘앤디
446,2차전지(소재/부품),054210,이랜텍
446,2차전지(소재/부품),055490,테이팩스
446,2차전지(소재/부품),065350,신성델타테크
446,2차전지(소재/부품),066970,엘앤에프
446,2차전지(소재/부품),075970,동국알앤에스
446,2차전지(소재/부품),078600,대주전자재료
446,2차전지(소재/부품),084850,아이티엠반도체
446,2차전지(소재/부품),086520,에코프로
446,2차전지(소재/부품),088390,이녹스
446,2차전지(소재/부품),089980,상아프론테크
446,2차전지(소재/부품),091580,상신이디피
446,2차전지(소재/부품),093370,후성
446,2차전지(소재/부품),093920,서원인텍
446,2차전지(소재/부품),096630,에스코넥
446,2차전지(소재/부품),101360,에코앤드림
446,2차전지(소재/부품),114190,강원에너지
446,2차전지(소재/부품),121600,나노신소재
446,2차전지(소재/부품),161000,애경케미칼
446,2차전지(소재/부품),178920,PI첨단소재
446,2차전지(소재/부품),220260,켐트로스
446,2차전지(소재/부품),222420,쎄노텍
446,2차전지(소재/부품),240600,유진테크놀로지
446,2차전지(소재/부품),243840,신흥에스이씨
446,2차전지(소재/부품),247540,에코프로비엠
446,2차전지(소재/부품),263770,유에스티
446,2차전지(소재/부품),265560,영화테크
446,2차전지(소재/부품),278280,천보
446,2차전지(소재/부품),317330,덕산테코피아
446,2차전지(소재/부품),336370,솔루스첨단소재
446,2차전지(소재/부품),348370,엔켐
446,2차전지(소재/부품),354320,알멕
446,2차전지(소재/부품),357780,솔브레인
446,2차전지(소재/부품),361610,SK아이이테크놀로지
446,2차전지(소재/부품),393890,더블유씨피
446,2차전지(소재/부품),416180,신성에스티
446,2차전지(소재/부품),417010,나노팀
446,2차전지(소재/부품),419050,삼기에너지솔루션즈
446,2차전지(소재/부품),446540,메가터치
446,2차전지(소재/부품),450080,에코프로머티
446,2차전지(소재/부품),452400,이닉스
446,2차전지(소재/부품),458650,성우
446,2차전지(소재/부품),475660,에스켐
446,2차전지(소재/부품),900070,글로벌에스엠
445,2차전지(장비),017370,우신시스템
445,2차전지(장비),032680,소프트센
445,2차전지(장비),056190,SFA
445,2차전지(장비),065130,탑엔지니어링
445,2차전지(장비),076080,웰크론한텍
445,2차전지(장비),078150,HB테크놀러지
445,2차전지(장비),079810,APS이노베이션
445,2차전지(장비),081180,쎄크
445,2차전지(장비),083930,아바코
445,2차전지(장비),089890,코세스
445,2차전지(장비),108230,톱텍
445,2차전지(장비),109740,디에스케이
445,2차전지(장비),110990,디아이티
445,2차전지(장비),114190,강원에너지
445,2차전지(장비),129920,대성하이텍
445,2차전지(장비),131760,파인텍
445,2차전지(장비),137400,피엔티
445,2차전지(장비),148930,에이치와이티씨
445,2차전지(장비),161580,필옵틱스
445,2차전지(장비),168360,펨트론
445,2차전지(장비),217820,원익피앤이
445,2차전지(장비),222080,SFA넥셀
445,2차전지(장비),241790,티이엠씨씨엔에스
445,2차전지(장비),251630,브이원텍
445,2차전지(장비),254120,자비스
445,2차전지(장비),257370,피엔티엠에스
445,2차전지(장비),259630,엠플러스
445,2차전지(장비),262260,에이프로
445,2차전지(장비),267320,나인테크
445,2차전지(장비),277880,티에스아이
445,2차전지(장비),282880,코윈테크
445,2차전지(장비),290670,대보마그네틱
445,2차전지(장비),299030,하나기술
445,2차전지(장비),302430,이노메트리
