code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
475660,에스켐,KOSDAQ,2차전지·전기차,2차전지(소재/부품),OLED(유기 발광 다이오드),2차전지,,디스플레이장비및부품,3,2차전지 | 2차전지(소재/부품) | OLED(유기 발광 다이오드),,legacy_theme,높음
900070,글로벌에스엠,KOSDAQ,2차전지·전기차,2차전지(소재/부품),전기차,2차전지,국내 상장 중국기업,자동차부품,4,2차전지 | 2차전지(소재/부품) | 국내 상장 중국기업 | 전기차,,legacy_theme,높음
076080,웰크론한텍,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,폐배터리,수자원(양적/질적 개선),건설,4,2차전지 | 2차전지(장비) | 수자원(양적/질적 개선) | 폐배터리,,legacy_theme,높음
081180,쎄크,KOSDAQ,2차전지·전기차,2차전지(장비),방위산업/전쟁 및 테러,반도체 장비,2차전지,전자장비와기기,4,2차전지 | 2차전지(장비) | 반도체 장비 | 방위산업/전쟁 및 테러,,legacy_theme,높음
109740,디에스케이,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,보톡스(보툴리눔톡신),,전자장비와기기,3,2차전지 | 2차전지(장비) | 보톡스(보툴리눔톡신),,legacy_theme,높음
129920,대성하이텍,KOSDAQ,2차전지·전기차,2차전지(장비),방위산업/전쟁 및 테러,2차전지,공작기계,기계,4,2차전지 | 2차전지(장비) | 공작기계 | 방위산업/전쟁 및 테러,,legacy_theme,높음
148930,에이치와이티씨,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,,,전기제품,2,2차전지 | 2차전지(장비),,legacy_theme,높음
241790,티이엠씨씨엔에스,KOSDAQ,2차전지·전기차,2차전지(장비),반도체 재료/부품,반도체 장비,2차전지,반도체와반도체장비,4,2차전지 | 2차전지(장비) | 반도체 장비 | 반도체 재료/부품,,legacy_theme,높음
254120,자비스,KOSDAQ,2차전지·전기차,2차전지(장비),반도체 장비,2차전지,PCB(FPCB 등),전자장비와기기,4,2차전지 | 2차전지(장비) | PCB(FPCB 등) | 반도체 장비,,legacy_theme,높음
257370,피엔티엠에스,KOSDAQ,2차전지·전기차,2차전지(장비),OLED(유기 발광 다이오드),2차전지,,전기제품,3,2차전지 | 2차전지(장비) | OLED(유기 발광 다이오드),,legacy_theme,높음
